City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,butembo,0.15,29.2833,14.59,94,54,1.18,CD,1701454950
213,petrove,48.3247,33.2562,4.38,97,100,1.98,UA,1701454951
214,uturoa,-16.7333,-151.4333,26.96,81,42,8.45,PF,1701454952
215,minas de marcona,-15.2119,-75.1103,20.9,53,83,7.5,PE,1701454952
216,san andres,12.5847,-81.7006,30.01,74,20,6.69,CO,1701454953
217,crane,31.3974,-102.3501,15.33,32,28,3.38,US,1701454953
218,ishigaki,24.3448,124.1572,18.07,94,75,5.66,JP,1701454891
219,la gi,10.6667,107.7833,24.79,83,100,4.25,VN,1701454954
220,mont belvieu,29.8477,-94.8908,22.95,96,100,2.46,US,1701454719
221,ponta delgada,37.7333,-25.6667,17.33,59,20,3.09,PT,1701454955
222,st. john's,47.5649,-52.7093,2.38,87,75,7.2,CA,1701454758
223,saint-denis,48.9167,2.3333,2.31,76,100,5.66,FR,1701454956
224,cabo san lucas,22.8909,-109.9124,26.21,46,0,5.14,MX,1701454744
225,nova vicosa,-17.8919,-39.3719,28.77,61,94,7.12,BR,1701454790
226,gaspe,48.8334,-64.4819,5.95,60,20,5.14,CA,1701454958
227,poronaysk,49.2167,143.1167,-14.29,92,48,1.81,RU,1701454958
228,kapa'a,22.0752,-159.319,22.99,93,100,2.06,US,1701454960
229,saint-philippe,-21.3585,55.7679,24.77,80,75,1.57,RE,1701454961
230,ugoofaaru,5.6667,73.0,28.41,73,99,0.82,MV,1701454938
231,kapuskasing,49.4169,-82.4331,-6.95,62,20,3.6,CA,1701454962
232,qarqaraly,49.4058,75.4742,-3.34,69,80,7.37,KZ,1701454962
233,greymouth,-42.4667,171.2,10.99,83,100,2.43,NZ,1701454963
234,kavaratti,10.5669,72.642,28.72,72,90,4.03,IN,1701454964
235,georgetown,5.4112,100.3354,26.68,92,40,3.6,MY,1701454964
236,independencia,-5.3964,-40.3086,36.97,22,35,2.98,BR,1701454965
237,rafraf,37.1904,10.1837,22.17,42,90,5.29,TN,1701454966
238,sao tome,0.3365,6.7273,26.48,83,97,5.39,ST,1701454966
239,kashgar,39.4547,75.9797,1.56,44,0,3.0,CN,1701454967
240,vila velha,-20.3297,-40.2925,30.97,58,20,10.29,BR,1701454968
241,egilsstadir,65.2653,-14.3948,-0.05,86,75,6.17,IS,1701454968
242,murun-kuren,49.6342,100.1625,-13.5,82,38,1.16,MN,1701454969
243,kelso,46.1468,-122.9084,7.6,96,100,3.6,US,1701454970
244,wodonga,-36.1167,146.8833,15.71,90,100,1.72,AU,1701454970
245,upington,-28.4478,21.2561,28.21,42,75,2.57,ZA,1701454971
246,arteche,12.2645,125.4048,26.11,90,68,4.32,PH,1701454972
247,i-n-salah,27.1935,2.4607,20.32,14,100,1.7,DZ,1701454972
248,kokshetau,53.2775,69.3883,-5.52,90,83,5.06,KZ,1701454973
249,bodo,67.28,14.405,-4.98,76,0,6.69,NO,1701454974
250,machico,32.7,-16.7667,18.73,70,40,5.66,PT,1701454974
251,china,25.7,-99.2333,21.44,74,91,6.95,MX,1701454975
252,morehead city,34.7229,-76.726,21.0,75,40,4.63,US,1701454708
253,qashyr,53.0675,76.1036,-2.91,90,99,6.18,KZ,1701454976
254,betio village,1.358,172.9211,29.02,83,94,6.52,KI,1701454977
255,berdigestyakh,62.0989,126.6992,-28.68,96,97,3.01,RU,1701454977
256,lindon,40.3433,-111.7208,2.4,85,100,3.09,US,1701454978
257,ust'-uda,54.1742,103.0304,-10.67,92,100,1.25,RU,1701454978
258,dunedin,-45.8742,170.5036,9.15,90,79,3.18,NZ,1701454728
259,lewisville,33.0462,-96.9942,14.23,65,0,4.63,US,1701454819
260,college,64.8569,-147.8028,-18.28,81,0,2.06,US,1701454769
261,coahuayana de hidalgo,18.7,-103.6583,30.36,50,100,1.46,MX,1701454980
262,kati,12.7441,-8.0726,33.67,17,89,2.41,ML,1701454981
263,qaryat suluq,31.6682,20.2521,18.57,53,0,2.18,LY,1701454981
264,tura,25.5198,90.2201,17.87,81,73,1.84,IN,1701454982
265,lewistown,40.5992,-77.5714,7.02,87,40,0.0,US,1701454982
266,wellington,-41.2866,174.7756,11.81,93,20,3.6,NZ,1701454684
267,debesy,57.6529,53.8049,-11.12,98,99,1.61,RU,1701454888
268,nemuro,43.3236,145.575,-1.11,70,21,5.6,JP,1701454985
269,massawa,15.6097,39.45,29.12,60,43,0.99,ER,1701454985
270,piney green,34.716,-77.3202,19.97,68,100,3.09,US,1701454986
271,luang namtha,20.9497,101.4011,19.56,94,92,0.47,LA,1701454987
272,uchiza,-8.4592,-76.4633,27.88,74,96,0.79,PE,1701454987
273,hadibu,12.65,54.0333,25.8,68,63,8.08,YE,1701454988
274,codrington,-38.2667,141.9667,13.78,82,100,6.27,AU,1701454990
275,castillos,-34.1667,-53.8333,27.92,65,100,7.76,UY,1701454990
276,dudinka,69.4058,86.1778,-17.96,93,98,4.47,RU,1701454991
277,kirakira,-10.4544,161.9205,26.17,88,100,3.8,SB,1701454991
278,jieshi,22.8134,115.8257,17.22,72,71,4.96,CN,1701454992
279,puerto san jose,13.9256,-90.8244,29.44,66,0,1.66,GT,1701454993
280,kismayo,-0.3582,42.5454,27.36,80,65,4.01,SO,1701454993
281,san felice circeo,41.2372,13.0942,20.09,95,23,0.89,IT,1701454994
282,jinsha,32.0898,121.0735,2.21,32,57,0.75,CN,1701454995
283,akrehamn,59.2667,5.1833,-0.33,86,0,3.09,NO,1701454996
284,sinabang,2.4803,96.3801,25.87,87,100,1.37,ID,1701454997
285,quellon,-43.1167,-73.6167,11.47,49,77,2.38,CL,1701454998
286,mount pearl,47.5166,-52.7813,1.92,87,75,7.2,CA,1701454998
287,yeed,4.55,43.0333,29.06,38,25,3.73,SO,1701454999
288,hartford city,40.4511,-85.37,7.39,91,100,4.8,US,1701454999
289,barcelona,41.3888,2.159,14.19,62,20,8.75,ES,1701454884
290,hassi messaoud,31.6804,6.0729,19.92,18,40,2.06,DZ,1701455000
291,andergrove,-21.0833,149.1833,24.8,84,88,5.25,AU,1701455001
292,energetik,51.7445,58.7934,-0.28,99,100,2.72,RU,1701455002
293,pandan,14.0453,124.1694,26.54,84,41,6.65,PH,1701455002
294,cururupu,-1.8283,-44.8683,32.03,50,81,3.58,BR,1701455003
295,yanchep,-31.55,115.6833,22.19,91,12,3.83,AU,1701455003
296,sarmiento,-45.5882,-69.07,15.49,15,20,12.65,AR,1701455004
297,fort bragg,35.139,-79.006,17.68,70,100,2.57,US,1701455004
298,dakhla,23.6848,-15.958,22.01,88,23,5.14,EH,1701455005
299,puerto baquerizo moreno,-0.9,-89.6,28.55,74,75,6.17,EC,1701455006
300,galliano,29.4422,-90.2992,25.0,78,75,2.57,US,1701454919
301,pisco,-13.7,-76.2167,23.03,68,0,4.12,PE,1701455007
302,happy valley-goose bay,53.3168,-60.3315,-0.83,80,75,2.06,CA,1701455007
303,salinopolis,-0.6136,-47.3561,29.22,68,75,4.28,BR,1701455008
304,gornozavodsk,58.3758,58.3211,-8.88,93,100,1.77,RU,1701455009
305,correggio,44.7698,10.7823,8.25,96,100,2.7,IT,1701455009
306,portland,45.5234,-122.6762,8.98,94,100,2.68,US,1701454514
307,kudymkar,59.0173,54.656,-6.49,96,100,2.41,RU,1701455011
308,goronyo,13.4423,5.6763,30.59,15,14,3.88,NG,1701455011
309,aytos,42.7,27.25,13.68,87,57,4.55,BG,1701455012
310,inongo,-1.95,18.2667,22.58,94,100,2.39,CD,1701455012
311,sitka,57.0531,-135.33,6.94,57,100,8.75,US,1701455013
312,port lincoln,-34.7333,135.8667,13.94,75,7,4.78,AU,1701455013
313,laojunmiao,39.8333,97.7333,-3.78,21,38,0.72,CN,1701455014
314,haiku-pauwela,20.9219,-156.3051,25.58,81,20,0.0,US,1701455014
315,terralba,39.7192,8.6392,16.1,60,44,3.18,IT,1701455015
